file,family,category,odrl_term
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,count
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,dateTime
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,derive
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,language
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,modify
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,or
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,share
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/dash.ttl,spatial,assets,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/schema.ttl,spatial,assets,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/schema.ttl,spatial,assets,count
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/schema.ttl,spatial,assets,dateTime
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/schema.ttl,spatial,assets,event
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/.venv/lib/python3.13/site-packages/pyshacl/assets/schema.ttl,spatial,assets,fileFormat
